Question,Answer,Answer Category - Relevant?,Answer Category - Well-formed?,Answer Category - Informative?,Answer Category - Acceptable?,Answer Category - Poor?,Answer Relevance (1-5),Approach
Is there any evidence to suggest geographic based virus mutations of COVID-19?,"The data show that, in each country, a high diversity of genetic signatures can be found worldwide with a maximum of three genotypes in different years The high genetic diversity of the USA and the Netherlands were again explained by the presence of a single genotype The high genetic diversity of the USA and the Netherlands were again explained by the presence of a single genotype",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
Is there any evidence to suggest geographic based virus mutations of COVID-19?,"A comparison of viral genomes between Australia and New Zealand reveals a close genetic similarity between strains 1 to 5 ( Figure 5 ), demonstrating that the viruses are essentially identical and only the geographical and temporal variation in isolates 1 and 5 is highly significant A comparison of viral genomes between Australia and New Zealand reveals a close genetic similarity between strains 1 to 5 ( Figure 5 ), demonstrating that the viruses are essentially identical and only the geographical and temporal variation in isolates 1 and 5 is highly significant It is also unclear whether strains 1 and 2 that are more closely related to the original Australian strains than strains 3 to 5 ( Figure 6 ) is a result of the same viral gene sequence from multiple locations",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
Is there any evidence to suggest geographic based virus mutations of COVID-19?,"A comparison of the phylogenetic properties of the U and the European variant is to detect the impact of multiple evolutionary routes including those from bats and the European variants, were found both at high frequency and independently from one another",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
Is there any evidence to suggest geographic based virus mutations of COVID-19?,"The relative abundances of these putative proteins during an infection might also have a bearing on the virus type This seems particularly plausible for isolates from Guinea, as a similar trend was previously detected elsewhere [5,, suggesting that this region might be of particular genetic interest The relative abundances of these putative proteins during an infection might also have a bearing on the virus type",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
Are there geographic variations in the rate of COVID-19 spread?,"The present study compared the spatiotemporal transmission networks among countries with different risk, and showed some degree of variation in the transmission behaviour We also analysed travel data from social media platforms to determine if there are significant geographic variations in the rate of spread The present study compared the spatiotemporal transmission networks among countries with different risk, and showed some degree of variation in the transmission behaviour",,,y,,,3,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
Are there geographic variations in the rate of COVID-19 spread?,"Do the spread patterns of COVID-19 occur predominantly in coastal areas and not in other areas of the world? If so, how? The main question that we have to answer is: (1) how are people in other countries to adapt to new infections, and how do they get to the US and other neighboring countries? (2) how do the newly emerging infections spread, and what do US public health officials do with the new infections? (3) What happens to people after they arrive? (4) how do they spread disease over long distance to the US? (5) at what stage do they develop a severe infection? (6) how do new diseases break into a large number of people, and how can our health-centered approaches to health prevent these infectious diseases in people? For decades, emerging pathogens have been a major threat for public health, especially when they are asymptomatic or are highly virulent Do the spread patterns of COVID-19 occur predominantly in coastal areas and not in other areas of the world? If so, how? The main question that we have to answer is: (1) how are people in other countries to adapt to new infections, and how do they get to the US and other neighboring countries? (2) how do the newly emerging infections spread, and what do US public health officials do with the new infections? (3) What happens to people after they arrive? (4) how do they spread disease over long distance to the US? (5) at what stage do they develop a severe infection? (6) how do new diseases break into a large number of people, and how can our health-centered approaches to health prevent these infectious diseases in people? For decades, emerging pathogens have been a major threat for public health, especially when they are asymptomatic or are highly virulent Complete a? Do the spread patterns of COVID-19 occur predominantly in coastal areas and not in other areas of the world? If so, how? The main question that we have to answer is: (1) how are people in other countries to adapt to new infections, and how do they get to the US and other neighboring countries? (2) how do the newly emerging infections spread, and what do US public health officials do with the new infections? (3) What happens to people after they arrive? (4) how do they spread disease over long distance to the US? (5) at what stage do they develop a severe infection? (6) how do new diseases break into a large number of people, and how can our health-centered approaches to health prevent these infectious diseases in people? For decades, emerging pathogens have been a major threat for public health, especially when they are asymptomatic or are highly virulent",,,y,,,3,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
Are there geographic variations in the rate of COVID-19 spread?,"Other viral epidemics in the Philippines in the past century were associated with a geographical cluster based on their geographic distribution, for example, an outbreak of cholera in the 1920s in a mining colony near Manila, and multiple respiratory outbreaks in coastal areas during the 1940s and 1960s The geographical distribution analysis shows that the first epidemic to spread in the Philippines was mainly over land routes ( Fig 2, Table 6 ) Other viral epidemics in the Philippines in the past century were associated with a geographical cluster based on their geographic distribution, for example, an outbreak of cholera in the 1920s in a mining colony near Manila, and multiple respiratory outbreaks in coastal areas during the 1940s and 1960s",,,y,,,3,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
"What do we know about virus genetics, origin, and evolution of COVID-19?","To better understand and predict the potential evolution and emergence of viruses, a new method for estimating the genetic variation of viruses has been introduced To better understand and predict the potential evolution and emergence of viruses, a new method for estimating the genetic variation of viruses has been introduced Using this method, a broad evolutionary spectrum of RNA viruses is identified and viruses that can infect the human host are predicted to spread quickly in the human population, while viruses that can not infect the host, such as single-stranded RNA viruses, are not evolving and are not likely to spread efficiently in humans",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
"What do we know about virus genetics, origin, and evolution of COVID-19?","There is very little known about the genetic diversity of virus strains circulating among humans and animals, and little is known about the ecology of the virus in its natural host In this review, we summarize the current knowledge surrounding virus ecology in birds and mammals and provide an overview of the virus's population dynamics There is very little known about the genetic diversity of virus strains circulating among humans and animals, and little is known about the ecology of the virus in its natural host",,y,,,,4,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
"What do we know about virus genetics, origin, and evolution of COVID-19?","We have demonstrated previously that this is often the case with many of the individual sequences of the COX-19 isolate collected from humans and animals and that our analysis of all the viral and host sequences from all the animals studied are not sufficient for this task We have demonstrated previously that this is often the case with many of the individual sequences of the COX-19 isolate collected from humans and animals and that our analysis of all the viral and host sequences from all the animals studied are not sufficient for this task An additional putative 'core' gene from a second virus strain that is not covered in any of the viruses used is also identified elsewhere in the genome, and this is one of the major reasons that it is not possible to discern in human, animal and animal groups the exact location of this putative core gene location",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
"What do we know about virus genetics, origin, and evolution of COVID-19?","The present study assessed the full genome sequence of all five coronaviruses and the related bafiniviruses to explore the virus diversity in wild and domestic birds in a Brazilian locality In addition, the phylogenetic analysis showed that all the viruses and the corresponding GenBank accession numbers were most closely related to the respective genotype of Bnab virus (Table 2 ) In addition, the phylogenetic analysis showed that all the viruses and the corresponding GenBank accession numbers were most closely related to the respective genotype of Bnab virus (Table 2 )",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
"What do we know about virus genetics, origin, and evolution of COVID-19?","The most recent confirmation of NEL I by a research group in February 2018 suggests that the virus is circulating in an epidemic setting The most recent confirmation of NEL I by a research group in February 2018 suggests that the virus is circulating in an epidemic setting Even though these studies provided evidence for the presence of NEL I viruses in healthcare-associated disease (HA-MDD), no studies",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What has been published about ethical and social science considerations of COVID-19?,"However, many stakeholders, including the International Health Regulations (2005) and International Health Regulations (2005), were concerned about the potential for this new disease to emerge in other regions and pose global or regional health security challenges WHO recommended the development of a strategy for emergency preparedness and management for global health The WHO had issued a previous, emergency guideline of the National Influenza Centre of Health Research and Sierra Leone for national influenza preparedness in 2006",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What has been published about ethical and social science considerations of COVID-19?,"In addition, more information, including analysis and interpretation of the ethical and social aspects of the WHO report and the findings of the WHO Collaborating Center, is needed to better understand these values, beliefs, and perspectives, to take action to prevent the future spread of this disease or to respond to its spread Read about and discuss this information on ethical issues is a useful first step in assessing the ethical aspects of COVID-19 [6,, but it is not enough to justify taking action In addition, more information, including analysis and interpretation of the ethical and social aspects of the WHO report and the findings of the WHO Collaborating Center, is needed to better understand these values, beliefs, and perspectives, to take action to prevent the future spread of this disease or to respond to its spread",,y,,,,4,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What has been published about ethical and social science considerations of COVID-19?,"A: The WHO prepared an ethical framework on global health and development, but its relevance in addressing specific issues does not extend to all problems, including those of global public health This case study presents some of the reasons why the WHO-CED and World Bank-World Health Organization Collaborative have not adopted these recommendations and how this may be explained on the basis of different ethical and conceptual understandings A: The WHO prepared an ethical framework on global health and development, but its relevance in addressing specific issues does not extend to all problems, including those of global public health",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What has been published about ethical and social science considerations of COVID-19?,"Additionally, the ethical and sociocultural context that determines ethical decision-making is a neglected and often unackstanded challenge in global health research and public health practice Additionally, the ethical and sociocultural context that determines ethical decision-making is a neglected and often unackstanded challenge in global health research and public health practice Additionally, the ethical and sociocultural context that determines ethical decision-making is a neglected and often unackstanded challenge in global health research and public health practice",,y,,,,4,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What has been published about ethical and social science considerations of COVID-19?,"A summary of the ethical principles underlying the emergency measures of global health was then compiled to build on the document in our previous paper and in a further paper entitled ""The ethical implications of the proposed emergency plan for global health "" We also reviewed the ethical issues that motivated the adoption of emergency preparedness in the past and, in particular, the ethical perspectives that have changed regarding emergency preparedness in the last 20 years A summary of the ethical principles underlying the emergency measures of global health was then compiled to build on the document in our previous paper and in a further paper entitled ""The ethical implications of the proposed emergency plan for global health."" We also reviewed the ethical issues that motivated the adoption of emergency preparedness in the past and, in particular, the ethical perspectives that have changed regarding emergency preparedness in the last 20 years",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What has been published about medical care of COVID-19?,"S Global Health Security, global health security, U Keyword search: What is the article title of the paper and why would someone be interested in it? Read full article 5 (May ) Keyword search: What could the term global health security mean? Keyword search: What could the paper mean to a reader? Read full article 6 (May ) Keywords: global health security, global health security, global health security, security, global health security, U.S",,,,,y,1,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What has been published about medical care of COVID-19?,"This review analyzes several previous studies, and the results are summarized Even though the main modes of spread remain different from those mentioned above, they all require significant amounts of virion-mediated and cellular components to reach the site of infection, the site of action This review analyzes several previous studies, and the results are summarized",,,y,,,3,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What has been published about medical care of COVID-19?,"In 2015, we conducted a nationwide survey on hospital infection control measures from October to January 2015 Data with respect to the information, experiences, and opinions were collected from the health and infection control personnel in five hospitals in Beijing, China Data with respect to the information, experiences, and opinions were collected from the health and infection control personnel in five hospitals in Beijing, China",,,,y,,2,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What has been published about medical care of COVID-19?,"To what extent has it been improved in terms of access to health insurance coverage? Co-op care was not mentioned in the first draft of the report To what extent has it been improved in terms of access to health insurance coverage? Co-op care was not mentioned in the first draft of the report However, after being requested by the authors, we have changed our name and inserted a section on COVID-19 co-op care",,y,,,,4,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about diagnostics and surveillance of COVID-19?,It is also an exploration and a demonstration of methods that have been developed and deployed in other domains The data are collected through a few different mechanisms and are often summarized through web reporting forms on a weekly basis It is also an exploration and a demonstration of methods that have been developed and deployed in other domains,,y,,,,4,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about diagnostics and surveillance of COVID-19?,"To understand what is known and not known, one must take into account the WHO statement, which stated it did not recommend containment of COVID-19 as currently constituted It is important to recognize that the WHO statement was not a total or complete admission by the international community that it was concerned about the possibility of an epidemic To understand what is known and not known, one must take into account the WHO statement, which stated it did not recommend containment of COVID-19 as currently constituted",,,y,,,3,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about diagnostics and surveillance of COVID-19?,"During their evaluation of the pilot study, CDC representatives stated that the screening tests for patients suspected of COVID-19 exposure have been conducted in UK hospitals since September 2014 and that the introduction of NxTAG® would help to ensure their proper use The pilot trial was the first investigation of an automated assay to detect COVID-19 in samples tested by NxTAG® During their evaluation of the pilot study, CDC representatives stated that the screening tests for patients suspected of COVID-19 exposure have been conducted in UK hospitals since September 2014 and that the introduction of NxTAG® would help to ensure their proper use",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about diagnostics and surveillance of COVID-19?,"Here, we have summarized data on the detection of SARS-CoV using qPCR and RT-PCR assays for the first time worldwide and provide evidence for detection of COVID-19 in hospitalized persons (2) after each primer is added, a probe with 2 copies per reaction is added MERS-CoV is a novel, and deadly, respiratory coronavirus identified during the 2002 outbreak in Duesseldorf, Germany",,y,,,,4,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about COVID-19 risk factors?,"When it comes to human risk of COVID-19, some animal species (e How can we mitigate COVID-19 exposure and spread in these and other settings? A major advantage of public health planning is that it has the capacity to identify, evaluate, and implement evidence-informed strategies to better control and prevent COVID-19 When it comes to human risk of COVID-19, some animal species (e.g",,y,,,,4,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about COVID-19 risk factors?,"For instance, people who travel are at high risk of exposure For instance, people who travel are at high risk of exposure The outbreak highlighted the importance of monitoring PEDV and the disease risk factors that are being followed on a daily basis to ensure their proper implementation",,y,,,,4,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about COVID-19 risk factors?,"However, COVID-19 is now a threat to global health security According to the latest World Health Organization report, a large number of travel is seen as one of the major causes of COVID-19 spread However, COVID-19 is now a threat to global health security",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about COVID-19 risk factors?,"Our knowledge of COVID-19 risk factors is limited, but it suggests that most people will not likely have been infected at work The results suggest that the risk of COVID-19 infection is not elevated at work for patients who were not vaccinated Our knowledge of COVID-19 risk factors is limited, but it suggests that most people will not likely have been infected at work",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about COVID-19 risk factors?,"Studies have also suggested that a number of co-occurring conditions, such as obesity and allergy, may affect the risk of COVID-19 and potentially have impact on the outcome Studies have also suggested that a number of co-occurring conditions, such as obesity and allergy, may affect the risk of COVID-19 and potentially have impact on the outcome However, in most cases these studies provided no information on the specific conditions identified as risk factors for the increased risk of COVID-19",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What has been published about information sharing and inter-sectoral collaboration of COVID-19?,"The action was taken by the President of the United States of America and the acting Secretary of Health and Human Services, and was immediately followed by the United Kingdom The World Health Organization of the United Nations declared the need for global health security on 26 December, and this declaration included a specific declaration of global health security (http://who The action was taken by the President of the United States of America and the acting Secretary of Health and Human Services, and was immediately followed by the United Kingdom",,y,,,,4,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What has been published about information sharing and inter-sectoral collaboration of COVID-19?,"Common to inter-sectoral coordination are the procedures involved in sharing of information on the epidemic and in decision making on the response to the epidemic The following sections will discuss the major aspects of collaboration and inter-sectoral coordination, and the factors affecting collaboration Common to inter-sectoral coordination are the procedures involved in sharing of information on the epidemic and in decision making on the response to the epidemic",,y,,,,4,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What has been published about information sharing and inter-sectoral collaboration of COVID-19?,"It will require much more sustained investment and work by a broad range of stakeholders, as well as the implementation of global health governance structures As a start, many are considering a new approach for global coordination of disease surveillance and response It will require much more sustained investment and work by a broad range of stakeholders, as well as the implementation of global health governance structures",,y,,,,4,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What has been published about information sharing and inter-sectoral collaboration of COVID-19?,are being examined for potential gaps or inconsistencies where sharing of data occurs government is considering changes to its policies to encourage the sharing of information by policy makers and public health officials so as to better inform public health policy government and research institutions in the U.S,,y,,,,4,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What has been published about information sharing and inter-sectoral collaboration of COVID-19?,"g., to WHO, to WHO Health Alliance or to the World Bank), all with a common set of stakeholders such as international partners and local governments (Borghmann-Leiderold et al., 2017) the scientific exchange networks that share expertise in infectious diseases) or research networks that share research and information in exchange with national and international partners All such information sharing mechanism has the same structure: a central, consensus based mechanism for coordinating the sharing (e.g",,y,,,,4,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about vaccines and therapeutics of COVID-19?,"Because of their critical role in viral pathogenesis and host defense against infections, several drugs have been developed against COVID-19 With this in mind, we present evidence that drugs that inhibit pro-inflammatory responses (e.g., IL-6) have the potential to inhibit COVID-19 infection and viral replication in nonhuman primates after administration up to 12 days following infection Because of their critical role in viral pathogenesis and host defense against infections, several drugs have been developed against COVID-19",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about vaccines and therapeutics of COVID-19?,"Another issue is that the immunogenicity of the vaccine depends not only on the specific strain but also on the route through which it is delivered to the host This strategy is already used in the context of cancer, where chemotherapy alone may be effective against the disease and/or This strategy is already used in the context of cancer, where chemotherapy alone may be effective against the disease and/or",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about vaccines and therapeutics of COVID-19?,There are multiple ways to reduce or enhance the efficacy of a vaccine or an antibiotic in the future Many drugs used commercially are not very successful for treating infectious diseases and their effectiveness is lower than it would be in the presence of a drug There are multiple ways to reduce or enhance the efficacy of a vaccine or an antibiotic in the future,y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about vaccines and therapeutics of COVID-19?,"A review that took over four decades to complete suggested that many vaccines or antiviral molecules have only short half-lives on their way to high effectiveness While the vast majority of studies and reviews are dealing with repurposed antibiotics and vaccines, we know very little about the level of efficacy and safety profiles of compounds repurposed from existing drugs and vaccines While the vast majority of studies and reviews are dealing with repurposed antibiotics and vaccines, we know very little about the level of efficacy and safety profiles of compounds repurposed from existing drugs and vaccines",,y,,,,4,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about vaccines and therapeutics of COVID-19?,"From the very first report of the epidemic, there have been multiple attempts to develop vaccines and therapeutics for COVID-19 From the very first report of the epidemic, there have been multiple attempts to develop vaccines and therapeutics for COVID-19 As reported, several vaccines have been tested as potential preventive tools against epidemic diseases",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about non-pharmaceutical interventions of COVID-19?,"Overall, we also found that the majority of nonpharmaceutical interventions were administered locally Second, the feasibility of the general medical services to reduce the use of non-pharmaceutical interventions Overall, we also found that the majority of nonpharmaceutical interventions were administered locally",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about non-pharmaceutical interventions of COVID-19?,"Although use of some technologies may be part of global surveillance systems, this has been shown to be more expensive (6) than other tools, such as travel or air travel (7) (8) (9) (10) (11), in particular to non-human sentience Although use of some technologies may be part of global surveillance systems, this has been shown to be more expensive (6) than other tools, such as travel or air travel (7) (8) (9) (10) (11), in particular to non-human sentience This allows us to test and verify the feasibility and timelability of internet connections at key points in disease transmission of global health importance where internet service providers are located",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about non-pharmaceutical interventions of COVID-19?,The United States of America (USA) is home to the most advanced medical system of any country on earth America has provided health care worldwide for decades with excellent global competencies America has provided health care worldwide for decades with excellent global competencies,,,y,,,3,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about non-pharmaceutical interventions of COVID-19?,"It has been shown that the maintenance of antimalarial and antifungal medication is not a common mode of administration in the treatment of COVID-19 ; therefore, we investigated this possibility in the present study Of the various drugs currently used (Supplementary Table S1 ), 11.6% of the respondents had received them from their physicians It has been shown that the maintenance of antimalarial and antifungal medication is not a common mode of administration in the treatment of COVID-19 ; therefore, we investigated this possibility in the present study",,,y,,,3,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about non-pharmaceutical interventions of COVID-19?,"4 The interventions described in the majority of the reviews were of interventions of limited effectiveness and often in the absence of any human resource resources allocation, and may be described here as non-governmental or non-pharmaceutical If such a change was, indeed, to occur, it is because many of the interventions discussed in both reviews were to be expected to have non-pharmaceutical health impact and/or to be of non-productive use 4 The interventions described in the majority of the reviews were of interventions of limited effectiveness and often in the absence of any human resource resources allocation, and may be described here as non-governmental or non-pharmaceutical",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
"What is known about transmission, incubation, and environmental stability of COVID-19?","However, the detection of SARS-coronavirus in animal animals is not due to such direct airborne transmission as the animal is likely to play an important role in the transmission While bats are currently considered as an emerging mammalian order under the ICTV (Table S1 ), the possibility of animal-to-animal interactions as well as indirect transmissions and trans-species transmission remains a topic for While bats are currently considered as an emerging mammalian order under the ICTV (Table S1 ), the possibility of animal-to-animal interactions as well as indirect transmissions and trans-species transmission remains a topic for",y,,,,,5,Universal Sentence Encoder Version 3 Large + Inner Product (numpy)
"What is known about transmission, incubation, and environmental stability of COVID-19?","We have outlined evidence that, in addition to the potential to cause a global pandemic, infection with this novel coronavirus can lead to severe complications We have outlined evidence that, in addition to the potential to cause a global pandemic, infection with this novel coronavirus can lead to severe complications We have identified several important implications in an outbreak to emerge at a global scale",y,,,,,5,Universal Sentence Encoder Version 3 Large + Inner Product (numpy)
"What is known about transmission, incubation, and environmental stability of COVID-19?","Such methods are referred to as ""functional"" functional imaging, ""functional virology, or ""functional virology Such virology, even in its simplest form, has proven to be a useful tool in the analysis of infectious diseases Such virology, even in its simplest form, has proven to be a useful tool in the analysis of infectious diseases",,,y,,,3,Universal Sentence Encoder Version 3 Large + Inner Product (numpy)
"What is known about transmission, incubation, and environmental stability of COVID-19?","In some settings, the WHO recommends a three-step process for establishing contact: (i) one end-to-end route; (ii) a direct link for the duration of transmission; and (iii) at a minimum, the process to establish an onward transmission chain To determine the pathogen(s) to travel from a city, to work, or to travel into an area with known infection clusters, it is important to determine the possible routes through which an infectious individual travels to and from where transmission may occur To determine the pathogen(s) to travel from a city, to work, or to travel into an area with known infection clusters, it is important to determine the possible routes through which an infectious individual travels to and from where transmission may occur",y,,,,,5,Universal Sentence Encoder Version 3 Large + Inner Product (numpy)
"What is known about transmission, incubation, and environmental stability of COVID-19?","If sufficient knowledge exists, then actions and systems aimed at preventing and containing global spread can be developed If sufficient knowledge exists, then actions and systems aimed at preventing and containing global spread can be developed If sufficient knowledge exists, then actions and systems aimed at preventing and containing global spread can be developed",,,y,,,3,Universal Sentence Encoder Version 3 Large + Inner Product (numpy)
Are there geographic variations in the mortality rate of COVID-19?,"In recent years with the emergence of MERS-CoV (and SARS-CoV), the COVID-19 epidemic showed significant variation in its mortality rate Overall, the mortality rate is estimated to have dropped from deaths per inhabitants on September 5 to deaths during the period In recent years with the emergence of MERS-CoV (and SARS-CoV), the COVID-19 epidemic showed significant variation in its mortality rate",,y,,,,4,Universal Sentence Encoder Version 3 Large + Inner Product (numpy)
Are there geographic variations in the mortality rate of COVID-19?,"This method works very well for large areas and has a large prediction sample, providing an estimate of a region's connectivity that can be exploited by public health These questions were studied in Hong Kong during the 1918-19 pandemic influenza This method works very well for large areas and has a large prediction sample, providing an estimate of a region's connectivity that can be exploited by public health",,,y,,,3,Universal Sentence Encoder Version 3 Large + Inner Product (numpy)
Are there geographic variations in the mortality rate of COVID-19?,The tool can help countries determine whether the needs and risk for COVID-19 are similar to those in prior epidemics or outbreaks and could lead to improvements in health policy and management It is expected to provide information on epidemiological parameters relevant to health emergency preparedness and responses at the regional and national levels The tool can help countries determine whether the needs and risk for COVID-19 are similar to those in prior epidemics or outbreaks and could lead to improvements in health policy and management,,,y,,,3,Universal Sentence Encoder Version 3 Large + Inner Product (numpy)
Are there geographic variations in the mortality rate of COVID-19?,"The mortality rate from hepatitis B was not elevated ( Table 3) After accounting for the potential confounders, the risk of mortality from COVID-19 in the 5-13-year (1.6-3.6 per 1000 persons) and 15-24-year (1.9-2.0 per 1000 persons) age groups was similar ( Table 4 ) suggesting spatial variation was not due to a confounding effect from age The mortality rate from hepatitis B was not elevated ( Table 3)",,,y,,,3,Universal Sentence Encoder Version 3 Large + Inner Product (numpy)
Are there geographic variations in the mortality rate of COVID-19?,"The case fatality ratio is correlated with the total distance traveled, the total distance traveled and time and is a direct measure of epidemic spread This outbreak resulted in a high fatality ratio as the case rate was very high and spread widely (Fig 5) The case fatality ratio is correlated with the total distance traveled, the total distance traveled and time and is a direct measure of epidemic spread",,y,,,,4,Universal Sentence Encoder Version 3 Large + Inner Product (numpy)
Is there any evidence to suggest geographic based virus mutations of COVID-19?,"In order to investigate the genetic evolution of the strain, ISTAT analysis was used for all the eight genotypes within each country Secondly, the analyses only take place in the region in which the outbreak was reported and from which the whole genomes of the selected countries (including France, Switzerland and Germany) were retrieved Secondly, the analyses only take place in the region in which the outbreak was reported and from which the whole genomes of the selected countries (including France, Switzerland and Germany) were retrieved",y,,,,,5,Universal Sentence Encoder Version 3 Large + Inner Product (numpy)
